category,rating,label,text_,sentiment_score,fre,coherence
Home_and_Kitchen_5,5,1,"Love this!  Well made, sturdy, and very comfortable.  I love it!Very pretty",0.9593,90.77,1
Home_and_Kitchen_5,5,1,"love it, a great upgrade from the original.  I've had mine for a couple of years",0.891,88.74,1
Home_and_Kitchen_5,5,1,This pillow saved my back. I love the look and feel of this pillow.,0.7906,106.67,1
Home_and_Kitchen_5,1,1,"Missing information on how to use it, but it is a great product for the price!  I",0.7463,79.6,1
Home_and_Kitchen_5,5,1,Very nice set. Good quality. We have had the set for two months now and have not been,0.7397,104.64,1
Home_and_Kitchen_5,3,1,I WANTED DIFFERENT FLAVORS BUT THEY ARE NOT.,0.0,71.82,1
Home_and_Kitchen_5,5,1,They are the perfect touch for me and the only thing I wish they had a little more space.,0.7506,86.03,1
Home_and_Kitchen_5,3,1,These done fit well and look great.  I love the smoothness of the edges and the extra,0.9169,105.15,1
Home_and_Kitchen_5,5,1,"Great big numbers & easy to read, the only thing I didn't like is the size of the",0.7087,88.06,1
Home_and_Kitchen_5,5,1,My son loves this comforter and it is very well made.  We also have a baby,0.858,97.2,1
Home_and_Kitchen_5,5,1,As advertised. 5th one I've had. The only problem is that it's not really a,-0.4019,80.78,1
Home_and_Kitchen_5,5,1,Very handy for one of my kids and the tools are included in the package. I have one in,0.0,95.67,1
Home_and_Kitchen_5,5,1,"Did someone say, ""Oriental for $60""?  It is a great product for the",0.6249,90.26,1
Home_and_Kitchen_5,1,1,These are so flimsy! They are not the quality you would expect from a piece of furniture.,0.0,79.77,1
Home_and_Kitchen_5,5,1,Makes may tea with out stirring. The only problem is that it's kind of hard to put,-0.5256,96.69,1
Home_and_Kitchen_5,5,1,Absolutely adorable! And excellent price. We have had the wooden ones for a few months now and they,0.8293,87.72,1
Home_and_Kitchen_5,5,1,Love this!  Perfect size for an entire family!Very good quality.,0.9078,66.4,1
Home_and_Kitchen_5,5,1,These look beautiful and so nice. The only problem is that it's not really a mesh one.,0.6478,79.77,1
Home_and_Kitchen_5,5,1,Exactly what you would expect. I love the look and feel of this pillow.,0.6369,89.75,1
Home_and_Kitchen_5,5,1,"10 Stars, I would highly recommend this item. We love this blanket.",0.7902,90.77,1
Home_and_Kitchen_5,5,1,Great little egg masher.  We have had it for a few months now and it's been,0.6249,105.66,1
Home_and_Kitchen_5,5,1,"As advertised.  Easy to use.  Love the colors.  Also, the dimensions are just",0.7964,75.57,1
Home_and_Kitchen_5,5,1,it is exactly as pictured. I love the look and feel of this pillow.,0.6369,89.75,1
Home_and_Kitchen_5,5,1,"Fantastic, just what I wanted!!!  I love the look and feel of this pillow.",0.865,89.75,1
Home_and_Kitchen_5,5,1,"Supposed to come with extra hardware. The only problem is that it's not really a vacuum,",-0.4019,63.36,1
